id,title,original_title,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,original_language,status,genres,production_companies,production_countries,belongs_to_collection,collection_name,director,composer,cast_top5,cast_top5_popularity,overview,tagline,roi,is_success,release_year,release_month,release_day_of_week,release_decade,release_season,main_genre,nb_genres,cast_avg_popularity,lead_actor_popularity,nb_production_companies,is_international,is_franchise,director_nb_movies_prior,director_avg_vote_prior,director_avg_roi_prior,genre_drama,genre_action,genre_comedy,genre_thriller,genre_adventure,genre_crime,genre_science_fiction,genre_fantasy,genre_horror,genre_family,genre_romance,genre_animation,inflation_factor,budget_2024,revenue_2024,franchise_position
4951,10 Things I Hate About You,10 Things I Hate About You,1999-03-30,97,16000000,53478166,7.591,8876,13.7446,en,Released,"['Comedy', 'Romance', 'Drama']","['Mad Chance', 'Jaret Entertainment']",['US'],True,10 Things I Hate About... Collection,Gil Junger,Richard Gibbs,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik', 'David Krumholtz']","[2.9179, 2.979, 4.7088, 0.9715, 2.2795]","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",How do I loathe thee? Let me count the ways.,2.342385375,1,1999,3,1,1990,Printemps,Comedy,3,2.77134,2.9179,2,0,1,0,6.80411559139785,1.8808109733333331,1,0,1,0,0,0,0,0,0,0,1,0,1.91,30560000.0,102143297.06,1.0
11674,101 Dalmatians,101 Dalmatians,1996-11-27,103,54000000,320689294,5.94,3622,6.7539,en,Released,"['Family', 'Comedy']","['Great Oaks Entertainment', 'Walt Disney Pictures', 'Wizzer Productions']","['GB', 'US']",True,101 Dalmatians (Live-Action) Collection,Stephen Herek,Michael Kamen,"['Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright', 'Hugh Laurie']","[2.5885, 1.5626, 1.955, 0.9361, 3.1156]","An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",So many dogs. So little time.,4.93869062962963,1,1996,11,2,1990,Automne,Family,2,2.03156,2.5885,3,1,1,2,6.4365,4.1567887500000005,0,0,1,0,0,0,0,0,0,1,0,0,2.02,109080000.0,647792373.88,1.0
170,28 Days Later,28 Days Later,2002-10-31,113,8000000,82784517,7.241,8445,10.4207,en,Released,"['Horror', 'Thriller', 'Science Fiction']",['DNA Films'],['GB'],True,28 Days/Weeks/Years Later Collection,Danny Boyle,John Murphy,"['Cillian Murphy', 'Naomie Harris', 'Brendan Gleeson', 'Megan Burns', 'Christopher Eccleston']","[6.14, 1.8215, 2.9541, 0.6523, 1.4326]","Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",The days are numbered.,9.348064625,1,2002,10,3,2000,Automne,Horror,3,2.6001,6.14,1,0,1,2,7.2415,9.7984387875,0,0,0,1,0,0,1,0,1,0,0,0,1.77,14160000.0,146528595.09,1.0
1562,28 Weeks Later,28 Weeks Later,2007-04-26,99,15000000,72304846,6.603,5528,7.0683,en,Released,"['Horror', 'Thriller', 'Science Fiction']","['DNA Films', 'Figment Films', 'UK Film Council', 'Fox Atomic', 'Koan', 'Sogecine']","['GB', 'ES', 'US']",True,28 Days/Weeks/Years Later Collection,Juan Carlos Fresnadillo,John Murphy,"['Robert Carlyle', 'Rose Byrne', 'Jeremy Renner', 'Harold Perrineau', 'Catherine McCormack']","[2.0409, 4.9951, 3.7966, 6.2607, 1.902]","Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",When days turn to weeks...,3.8203230666666665,1,2007,4,3,2000,Printemps,Horror,3,3.79906,2.0409,6,1,1,0,6.80411559139785,1.8808109733333331,0,0,0,1,0,0,1,0,1,0,0,0,1.54,23100000.0,111349462.84,2.0
20453,3 Idiots,3 Idiots,2009-12-23,171,9000000,70000000,7.996,2687,6.7112,hi,Released,"['Drama', 'Comedy']","['Vidhu Vinod Chopra Productions', 'Vinod Chopra Films']",['IN'],True,3 Idiots Collection,Rajkumar Hirani,Shantanu Moitra,"['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor Khan', 'Boman Irani']","[3.8987, 1.141, 0.5837, 2.5284, 1.0148]","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",Aal Izz Well!,6.777777777777778,1,2009,12,2,2000,Hiver,Drama,2,1.83332,3.8987,2,0,1,0,6.80411559139785,1.8808109733333331,1,0,1,0,0,0,0,0,0,0,0,0,1.48,13320000.0,103600000.0,1.0
4513,30 Days of Night,30 Days of Night,2007-10-17,113,30000000,80276156,6.437,3050,4.6606,en,Released,"['Horror', 'Thriller']","['HorrorFlix', 'Columbia Pictures', 'Ghost House Pictures', 'Dark Horse Entertainment', 'Mandate International']","['NZ', 'US']",True,30 Days of Night Collection,David Slade,Brian Reitzell,"['Josh Hartnett', 'Melissa George', 'Danny Huston', 'Ben Foster', 'Mark Boone Junior']","[2.9644, 1.654, 2.1309, 1.6888, 1.3941]","This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",They're Coming!,1.6758718666666668,1,2007,10,2,2000,Automne,Horror,2,1.96644,2.9644,5,1,1,1,6.812,6.368421052631579,0,0,0,1,0,0,0,0,1,0,0,0,1.54,46200000.0,123625280.24000001,1.0
1271,300,300,2007-03-07,117,65000000,456082343,7.197,14669,10.7058,en,Released,"['Action', 'Adventure', 'War']","['Virtual Studios', 'Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros. Pictures']",['US'],True,300 Collection,Zack Snyder,Tyler Bates,"['Gerard Butler', 'Lena Headey', 'Dominic West', 'David Wenham', 'Vincent Regan']","[6.8206, 3.8001, 1.7687, 1.8843, 1.8447]","A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",Prepare for glory!,6.016651430769231,1,2007,3,2,2000,Printemps,Action,3,3.2236800000000003,6.8206,5,0,1,1,7.056,2.933796615384616,0,1,0,0,1,0,0,0,0,0,0,0,1.54,100100000.0,702366808.22,1.0
53182,300: Rise of an Empire,300: Rise of an Empire,2014-03-05,102,110000000,337580051,6.115,6927,7.1741,en,Released,"['Action', 'Drama', 'War']","['Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Nimar Studios', 'Warner Bros. Pictures', 'Cruel & Unusual Films']","['BG', 'US']",True,300 Collection,Noam Murro,Tom Holkenborg,"['Sullivan Stapleton', 'Eva Green', 'Lena Headey', 'Callan Mulvey', 'David Wenham']","[0.7935, 5.2479, 3.8001, 0.9414, 1.8843]","Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",Seize your glory!,2.0689095545454546,1,2014,3,2,2010,Printemps,Action,3,2.53344,0.7935,6,1,1,0,6.80411559139785,1.8808109733333331,1,1,0,0,0,0,0,0,0,0,0,0,1.34,147400000.0,452357268.34000003,2.0
403119,47 Meters Down,47 Meters Down,2017-05-25,89,5500000,62198461,5.806,2845,3.1297,en,Released,"['Horror', 'Thriller']","['Lantica Media', 'Flexibon Films', 'Dragon Root Securities', 'Altitude Film Sales', 'Dimension Films', 'Entertainment Studios Motion Pictures', 'Tea Shop & Film Company', 'The Fyzz']","['DO', 'GB', 'US']",True,47 Meters Down Collection,Johannes Roberts,Tom Hajdu,"['Mandy Moore', 'Claire Holt', 'Matthew Modine', 'Chris Johnson', 'Yani Gellman']","[2.2422, 1.105, 4.0822, 0.6234, 0.6025]","Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",No way out. No way up. No chance in hell.,10.30881109090909,1,2017,5,3,2010,Printemps,Horror,2,1.73106,2.2422,8,1,1,0,6.80411559139785,1.8808109733333331,0,0,0,1,0,0,0,0,1,0,0,0,1.29,7095000.0,80236014.69,1.0
64686,47 Ronin,47 Ronin,2013-12-06,119,175000000,151783839,6.202,4120,5.1112,en,Released,"['Drama', 'Action', 'Fantasy']","['Mid Atlantic Films', 'Stuber Pictures', 'Moving Picture Company', 'H2F Entertainment', 'Universal Pictures', 'Relativity Media']","['JP', 'US', 'GB']",True,47 Ronin Collection,Carl Rinsch,Ilan Eshkeri,"['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki', 'Tadanobu Asano', 'Min Tanaka']","[9.9533, 4.2617, 3.1207, 4.0047, 1.1602]","Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",For courage. For loyalty. For honor.,-0.1326637771428571,0,2013,12,4,2010,Hiver,Drama,3,4.50012,9.9533,6,1,1,0,6.80411559139785,1.8808109733333331,1,1,0,0,0,0,0,1,0,0,0,0,1.36,238000000.00000003,206426021.04000002,1.0
